type_name,type_kind,field_name,field_type,is_required,description,args
Order,OBJECT,additionalFees,[AdditionalFee!]!,True,"A list of additional fees applied to an order, such as duties, import fees, or [tax lines](https://shopify.dev/docs/api/admin-graphql/latest/objects/order#field-Order.fields.additionalFees.taxLines).",
Order,OBJECT,agreements,SalesAgreementConnection!,True,"A list of sales agreements associated with the order, such as contracts defining payment terms, or delivery schedules between merchants and customers.","first: Int, after: String, last: Int, before: String, reverse: Boolean = false, query: String"
Order,OBJECT,alerts,[ResourceAlert!]!,True,A list of messages that appear on the **Orders** page in the Shopify admin. These alerts provide merchants with important information about an order's status or required actions.,
Order,OBJECT,app,OrderApp,False,"The application that created the order. For example, ""Online Store"", ""Point of Sale"", or a custom app name.
Use this to identify the order source for attribution and fulfillment workflows.
Learn more about [building apps for orders and fulfillment](https://shopify.dev/docs/apps/build/orders-fulfillment).",
Order,OBJECT,attribution,OrderAttribution,False,The attribution details for the order.,
Order,OBJECT,billingAddress,MailingAddress,False,"The billing address associated with the payment method selected by the customer for an order.
Returns `null` if no billing address was provided during checkout.",
Order,OBJECT,billingAddressMatchesShippingAddress,Boolean!,True,"Whether the billing address matches the [shipping address](https://shopify.dev/docs/api/admin-graphql/latest/objects/order#field-Order.fields.shippingAddress). Returns `true` if both addresses are the same, and `false` if they're different or if an address is missing.",
Order,OBJECT,canMarkAsPaid,Boolean!,True,"Whether an order can be manually marked as paid. Returns `false` if the order is already paid, is canceled, has pending [Shopify Payments](https://help.shopify.com/en/manual/payments/shopify-payments/payouts) transactions, or has a negative payment amount.",
Order,OBJECT,canNotifyCustomer,Boolean!,True,"Whether order notifications can be sent to the customer.
Returns `true` if the customer has a valid [email address](https://shopify.dev/docs/api/admin-graphql/latest/objects/order#field-Order.fields.email).",
Order,OBJECT,cancelReason,OrderCancelReason,False,"The reason provided for an order cancellation. For example, a merchant might cancel an order if there's insufficient inventory. Returns `null` if the order hasn't been canceled.",
Order,OBJECT,cancellation,OrderCancellation,False,"Details of an order's cancellation, if it has been canceled. This includes the reason, date, and any [staff notes](https://shopify.dev/api/admin-graphql/latest/objects/OrderCancellation#field-OrderCancellation.fields.staffNote).",
Order,OBJECT,cancelledAt,DateTime,False,"The date and time in [ISO 8601 format](https://en.wikipedia.org/wiki/ISO_8601) when an order was canceled.
Returns `null` if the order hasn't been canceled.",
Order,OBJECT,capturable,Boolean!,True,"Whether an authorized payment for an order can be captured.
Returns `true` if an authorized payment exists that hasn't been fully captured yet. Learn more about [capturing payments](https://help.shopify.com/en/manual/fulfillment/managing-orders/payments/capturing-payments).",
Order,OBJECT,cartDiscountAmountSet,MoneyBag,False,"The total discount amount applied at the time the order was created, displayed in both shop and presentment currencies, before returns, refunds, order edits, and cancellations. This field only includes discounts applied to the entire order.",
Order,OBJECT,cartToken,String,False,The token associated with the cart that was used to create the order.,
Order,OBJECT,checkoutToken,String,False,"The token associated with the checkout that was used to create the order. Useful for correlating an order with the checkout it originated from, including in web pixels and analytics workflows.",
Order,OBJECT,clientIp,String,False,The IP address of the customer who placed the order. Useful for fraud detection and geographic analysis.,
Order,OBJECT,closed,Boolean!,True,"Whether an order is closed. An order is considered closed if all its line items have been fulfilled or canceled, and all financial transactions are complete.",
Order,OBJECT,closedAt,DateTime,False,"The date and time [ISO 8601 format](https://en.wikipedia.org/wiki/ISO_8601) when an order was closed. Shopify automatically records this timestamp when all items have been fulfilled or canceled, and all financial transactions are complete. Returns `null` if the order isn't closed.",
Order,OBJECT,confirmationNumber,String,False,"A customer-facing order identifier, often shown instead of the sequential order name.
It uses a random alphanumeric format (for example, `XPAV284CT`) and isn't guaranteed to be unique across orders.",
Order,OBJECT,confirmed,Boolean!,True,"Whether inventory has been reserved for an order. Returns `true` if inventory quantities for an order's [line items](https://shopify.dev/docs/api/admin-graphql/latest/objects/LineItem) have been reserved.
Learn more about [managing inventory quantities and states](https://shopify.dev/docs/apps/build/orders-fulfillment/inventory-management-apps/manage-quantities-states).",
Order,OBJECT,createdAt,DateTime!,True,The date and time in [ISO 8601 format](https://en.wikipedia.org/wiki/ISO_8601) when an order was created. This timestamp is set when the customer completes checkout and remains unchanged throughout an order's lifecycle.,
Order,OBJECT,currencyCode,CurrencyCode!,True,"The shop currency when the order was placed. For example, ""USD"" or ""CAD"".",
Order,OBJECT,currentCartDiscountAmountSet,MoneyBag!,True,"The current total of all discounts applied to the entire order, after returns, refunds, order edits, and cancellations. This includes discount codes, automatic discounts, and other promotions that affect the whole order rather than individual line items. To get the original discount amount at the time of order creation, use the [`cartDiscountAmountSet`](https://shopify.dev/docs/api/admin-graphql/latest/objects/order#field-Order.fields.cartDiscountAmountSet) field.",
Order,OBJECT,currentShippingPriceSet,MoneyBag!,True,"The current shipping price after applying refunds and discounts.
If the parent `order.taxesIncluded` field is true, then this price includes taxes. Otherwise, this field is the pre-tax price.",
Order,OBJECT,currentSubtotalLineItemsQuantity,Int!,True,"The current sum of the quantities for all line items that contribute to the order's subtotal price, after returns, refunds, order edits, and cancellations.",
Order,OBJECT,currentSubtotalPriceSet,MoneyBag!,True,"The total price of the order, after returns and refunds, in shop and presentment currencies.
This includes taxes and discounts.",
Order,OBJECT,currentTaxLines,[TaxLine!]!,True,"A list of all tax lines applied to line items on the order, after returns.
Tax line prices represent the total price for all tax lines with the same `rate` and `title`.",
Order,OBJECT,currentTotalAdditionalFeesSet,MoneyBag,False,"The current total of all additional fees for an order, after any returns or modifications. Modifications include returns, refunds, order edits, and cancellations. Additional fees can include charges such as duties, import fees, and special handling.",
Order,OBJECT,currentTotalDiscountsSet,MoneyBag!,True,"The total amount discounted on the order after returns and refunds, in shop and presentment currencies.
This includes both order and line level discounts.",
Order,OBJECT,currentTotalDutiesSet,MoneyBag,False,"The current total duties amount for an order, after any returns or modifications. Modifications include returns, refunds, order edits, and cancellations.",
Order,OBJECT,currentTotalPriceSet,MoneyBag!,True,"The total price of the order, after returns, in shop and presentment currencies.
This includes taxes and discounts.",
Order,OBJECT,currentTotalTaxSet,MoneyBag!,True,"The sum of the prices of all tax lines applied to line items on the order, after returns and refunds, in shop and presentment currencies.",
Order,OBJECT,currentTotalWeight,UnsignedInt64!,True,"The total weight of the order after returns and refunds, in grams.",
