type_name,type_kind,field_name,field_type,is_required,description,args
Collection,OBJECT,activeOperations,CollectionOperations!,True,"Collection duplicate operations involving this collection, either as a source (copying products from this collection to another) or a target (copying products to this collection from another).",
Collection,OBJECT,availablePublicationsCount,Count,False,"The number of
[publications](https://shopify.dev/docs/api/admin-graphql/latest/objects/Publication)
that a resource is published to, without
[feedback errors](https://shopify.dev/docs/api/admin-graphql/latest/objects/ResourceFeedback).",
Collection,OBJECT,description,String!,True,"A single-line, text-only description of the collection, stripped of any HTML tags and formatting that were included in the description.",truncateAt: Int
Collection,OBJECT,descriptionHtml,HTML!,True,"The description of the collection, including any HTML tags and formatting. This content is typically displayed to customers, such as on an online store, depending on the theme.",
Collection,OBJECT,events,EventConnection!,True,The paginated list of events associated with the host subject.,"first: Int, after: String, last: Int, before: String, reverse: Boolean = false, sortKey: EventSortKeys = ID, query: String"
Collection,OBJECT,feedback,ResourceFeedback,False,Information about the collection that's provided through resource feedback.,
Collection,OBJECT,handle,String!,True,"A unique string that identifies the collection. If a handle isn't specified when a collection is created, it's automatically generated from the collection's original title, and typically includes words from the title separated by hyphens. For example, a collection that was created with the title `Summer Catalog 2022` might have the handle `summer-catalog-2022`.

If the title is changed, the handle doesn't automatically change.

The handle can be used in themes by the Liquid templating language to refer to the collection, but using the ID is preferred because it never changes.",
Collection,OBJECT,hasProduct,Boolean!,True,Whether the collection includes the specified product.,id: ID!
Collection,OBJECT,id,ID!,True,A globally-unique ID.,
Collection,OBJECT,image,Image,False,The image associated with the collection.,
Collection,OBJECT,legacyResourceId,UnsignedInt64!,True,The ID of the corresponding resource in the REST Admin API.,
Collection,OBJECT,metafield,Metafield,False,"A [custom field](https://shopify.dev/docs/apps/build/custom-data),
including its `namespace` and `key`, that's associated with a Shopify resource
for the purposes of adding and storing additional information.","namespace: String, key: String!"
Collection,OBJECT,metafields,MetafieldConnection!,True,"A list of [custom fields](https://shopify.dev/docs/apps/build/custom-data)
that a merchant associates with a Shopify resource.","namespace: String, keys: [String!], first: Int, after: String, last: Int, before: String, reverse: Boolean = false"
Collection,OBJECT,products,ProductConnection!,True,The products that are included in the collection.,"first: Int, after: String, last: Int, before: String, reverse: Boolean = false, sortKey: ProductCollectionSortKeys = COLLECTION_DEFAULT"
Collection,OBJECT,productsCount,Count,False,The number of products in the collection.,
Collection,OBJECT,publishedOnPublication,Boolean!,True,"Whether the resource is published to a specified
[publication](https://shopify.dev/docs/api/admin-graphql/latest/objects/Publication).",publicationId: ID!
Collection,OBJECT,resourcePublications,ResourcePublicationConnection!,True,"The list of resources that are published to a
[publication](https://shopify.dev/docs/api/admin-graphql/latest/objects/Publication).","onlyPublished: Boolean = true, first: Int, after: String, last: Int, before: String, reverse: Boolean = false"
Collection,OBJECT,resourcePublicationsCount,Count,False,"The total number of
[publications](https://shopify.dev/docs/api/admin-graphql/latest/objects/Publication)
that a resource is published to, including publications with
[feedback errors](https://shopify.dev/docs/api/admin-graphql/latest/objects/ResourceFeedback).
To get a count that excludes publications with feedback errors, use `availablePublicationsCount`.",onlyPublished: Boolean = true
Collection,OBJECT,resourcePublicationsV2,ResourcePublicationV2Connection!,True,"The list of resources that are either published or staged to be published to a
[publication](https://shopify.dev/docs/api/admin-graphql/latest/objects/Publication).
By default, only publications to `APP` catalog types are returned.
For `Product` and `ProductVariant`, use the `catalogType` argument to retrieve
publications for other catalog types, such as `COMPANY_LOCATION` (B2B) or `MARKET`.
`Collection` only supports publications to `APP` catalog types.","onlyPublished: Boolean = true, catalogType: CatalogType, first: Int, after: String, last: Int, before: String, reverse: Boolean = false"
Collection,OBJECT,seo,SEO!,True,"If the default SEO fields for page title and description have been modified, contains the modified information.",
Collection,OBJECT,sortOrder,CollectionSortOrder!,True,"The order in which the products in the collection are displayed by default in the Shopify admin and in sales channels, such as an online store.",
Collection,OBJECT,sources,[CollectionSource!]!,True,"The sources that provide products for this collection. Each source represents a way products are included in the collection, such as through conditions and rules.",
Collection,OBJECT,subCollectionEligibility,CollectionSubCollectionEligibility!,True,"Whether this collection is eligible to be referenced as a sub-collection from
another collection's source. Returns one state per role (inclusion / exclusion).

Use this to filter ineligible targets up front and surface the reason.",
Collection,OBJECT,templateSuffix,String,False,"The suffix of the Liquid template being used to show the collection in an online store. For example, if the value is `custom`, then the collection is using the `collection.custom.liquid` template. If the value is `null`, then the collection is using the default `collection.liquid` template.",
Collection,OBJECT,title,String!,True,"The name of the collection. It's displayed in the Shopify admin and is typically displayed in sales channels, such as an online store.",
Collection,OBJECT,translations,[Translation!]!,True,The published translations associated with the resource.,"locale: String!, marketId: ID"
Collection,OBJECT,unpublishedPublications,PublicationConnection!,True,"The list of [publications](https://shopify.dev/docs/api/admin-graphql/latest/objects/Publication)
that the resource isn't published to.","first: Int, after: String, last: Int, before: String, reverse: Boolean = false"
Collection,OBJECT,updatedAt,DateTime!,True,The date and time ([ISO 8601 format](http://en.wikipedia.org/wiki/ISO_8601)) when the collection was last modified.,
